nome_hotel,prezzo,stanza,città,data,punteggio,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Appartamento Olivuzza House,€ 65,Appartamento con 1 Camera da Letto,Palermo,2024-03-20,"9,8",13 recensioni,"0,9 km dal centro",True,Offerta Inizio 2024 ,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Stanze al Genio B&B,€ 154,Camera King,"La Kalsa, Palermo",2024-03-20,"9,2",288 recensioni,"1,3 km dal centro",False,,True,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Dolce Dormire,€ 87,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato Esterno,Palermo,2024-03-20,"9,0",213 recensioni,500 m dal centro,False,,True,True,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Triscele house,€ 57,Camera Matrimoniale,Palermo,2024-03-20,"8,8",55 recensioni,"1,8 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
La Trinacria mare,€ 67,Appartamento con 1 Camera da Letto,Palermo,2024-03-20,"9,1",17 recensioni,"3,7 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
B&B Sant'Agostino,€ 125,Suite con Balcone,"Monte di Pietà, Palermo",2024-03-20,"9,1",599 recensioni,350 m dal centro,False,,True,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
La Casa di Giulietta,€ 92,Casa con 2 Camere da Letto,"La Kalsa, Palermo",2024-03-20,"9,4",7 recensioni,"1,4 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Casa Vacanze Galati,€ 83,Casa con 1 Camera da Letto,Palermo,2024-03-20,"9,5",60 recensioni,"1,1 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
B&B Villa Liberty sul mare,€ 109,Camera Matrimoniale Superior,Palermo,2024-03-20,"8,3",129 recensioni,4 km dal centro,True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
DayBreak B&B,€ 58,Camera Matrimoniale Deluxe con Balcone,Palermo,2024-03-20,"8,3",16 recensioni,500 m dal centro,False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Barrique Guest House,€ 93,Camera Matrimoniale Deluxe,Palermo,2024-03-20,"9,0",328 recensioni,"1,6 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Donizetti 19,€ 93,Camera Matrimoniale Standard,"Monte di Pietà, Palermo",2024-03-20,"9,1",201 recensioni,300 m dal centro,True,Offerta Inizio 2024 ,False,True,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Hola Cathedral House,€ 85,Appartamento Standard,"Albergaria, Palermo",2024-03-20,"8,2",257 recensioni,"1,1 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
In Itinera,€ 64,Camera Matrimoniale/Doppia con Letti Singoli,Palermo,2024-03-20,"8,4",157 recensioni,"1,8 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Maqueda Terrace,€ 89,Camera Quadrupla con Bagno Privato Esterno,"Monte di Pietà, Palermo",2024-03-20,"8,5",4 recensioni,450 m dal centro,False,,False,True,True,Linux,pantilaura56,desktop,03-04-2024---12:49
La casetta di rosario mondello,€ 118,Appartamento con 1 Camera da Letto,Palermo,2024-03-20,"9,8",10 recensioni,10 km dal centro,True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Alle Absidi della Cattedrale,€ 113,Camera Matrimoniale con Bagno Privato,"Monte di Pietà, Palermo",2024-03-20,"9,1",110 recensioni,"0,6 km dal centro",False,,True,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Palazzo Gallo,€ 76,Monolocale su 2 Livelli,"Ruggero Settimo, Palermo",2024-03-20,"9,0",436 recensioni,400 m dal centro,True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Residence Hotel Gloria,€ 54,Camera Matrimoniale/Doppia con Letti Singoli,Palermo,2024-03-20,"6,1",150 recensioni,"1,9 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Le stanze di Regina Margherita,€ 47,Camera Matrimoniale con Bagno Privato,Palermo,2024-03-20,"7,1",183 recensioni,"1,2 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Kepos Rooms and Suites,€ 76,Ampia Camera Matrimoniale,"Ruggero Settimo, Palermo",2024-03-20,"8,7",3 recensioni,"0,6 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
I Vicini della Cattedrale,€ 88,Camera Matrimoniale Standard,"Monte di Pietà, Palermo",2024-03-20,"8,5",319 recensioni,"0,6 km dal centro",False,Offerta Inizio 2024 ,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Astoria Palace Hotel,€ 179,Camera Matrimoniale,Palermo,2024-03-20,"7,0",7.270 recensioni,"2,1 km dal centro",False,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
SicilyHouse Palermo,€ 75,Camera Matrimoniale con Bagno Privato,Palermo,2024-03-20,"9,4",141 recensioni,"2,1 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Al Centro di Tutto,€ 65,Appartamento con 1 Camera da Letto,Palermo,2024-03-20,"8,1",56 recensioni,"1,4 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Cortile Cascino Home,€ 72,Appartamento con 2 Camere da Letto,Palermo,2024-03-20,"9,5",2 recensioni,"0,8 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
La Casa Dei Leoni Di Sicilia,€ 77,Appartamento con 1 Camera da Letto,Palermo,2024-03-20,"9,1",44 recensioni,"1,4 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
BED&BOOK Palazzo Cutelli,€ 79,Camera Matrimoniale Standard con Bagno in Comune,Palermo,2024-03-20,"9,1",236 recensioni,"0,6 km dal centro",False,,False,True,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Sara House Palermo,€ 61,Appartamento con 1 Camera da Letto,Palermo,2024-03-20,"9,2",20 recensioni,"4,3 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Ariosto Apartment,€ 53,Camera Matrimoniale,Palermo,2024-03-20,"7,6",10 recensioni,"1,8 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Hotel Palazzo Brunaccini,€ 133,Camera Standard,"Albergaria, Palermo",2024-03-20,"8,2",297 recensioni,1 km dal centro,False,,True,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
